id;code;latitude;longitude;address;district;postal_code;total_volume;trash_type;prediction;bin_type;installed_at;created;last_modify;created_batch_id;updated_batch_id
29995;0009/ 163C00344;50,123262800000000;14,498731499999963;Mimoòská 1243;;19000;1500;glass_coloured;2019-06-01 04:27:00;Bammens Belfast;2018-12-18 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29996;0009/ 163C00345;50,123262800000000;14,498731499999963;Mimoòská 1243;;19000;1500;glass_white;2019-06-03 20:01:54;Bammens Belfast;2018-12-18 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29997;0009/ 157C00351;50,126526899999990;14,491598100000033;Jablonecká 358/25;;19000;3000;beverage_cartons;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29998;0009/ 157C00352;50,126526899999990;14,491598100000033;Jablonecká 358/25;;19000;3000;paper;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29999;0009/ 157C00353;50,126526899999990;14,491598100000033;Jablonecká 358/25;;19000;3000;plastic;2019-05-18 21:54:35;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30000;0009/ 157C00354;50,126526899999990;14,491598100000033;Jablonecká 358/25;;19000;1500;glass_coloured;2019-05-18 19:46:30;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30001;0009/ 157C00355;50,126526899999990;14,491598100000033;Jablonecká 358/25;;19000;1500;glass_white;2019-06-09 07:25:37;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30002;0009/ 158C00361;50,124695700000000;14,489118500000018;Rumburská 244;;19000;3000;beverage_cartons;2019-05-24 08:32:40;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30003;0009/ 158C00362;50,124695700000000;14,489118500000018;Rumburská 244;;19000;3000;paper;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30004;0009/ 158C00363;50,124695700000000;14,489118500000018;Rumburská 244;;19000;3000;plastic;2019-05-16 13:57:59;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30005;0009/ 158C00364;50,124695700000000;14,489118500000018;Rumburská 244;;19000;1500;glass_coloured;2019-05-23 14:00:06;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30006;0009/ 158C00365;50,124695700000000;14,489118500000018;Rumburská 244;;19000;1500;glass_white;2019-06-03 23:28:10;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30007;0009/ 159C00371;50,123218599999990;14,490452399999981;Bohušovická-Bílinská 504/21;;19000;3000;beverage_cartons;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30008;0009/ 159C00372;50,123218599999990;14,490452399999981;Bohušovická-Bílinská 504/21;;19000;3000;paper;2019-05-21 20:34:17;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30009;0009/ 159C00373;50,123218599999990;14,490452399999981;Bohušovická-Bílinská 504/21;;19000;3000;plastic;2019-05-17 12:12:26;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30010;0009/ 159C00374;50,123218599999990;14,490452399999981;Bohušovická-Bílinská 504/21;;19000;1500;glass_coloured;2019-06-02 17:04:32;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30011;0009/ 159C00375;50,123218599999990;14,490452399999981;Bohušovická-Bílinská 504/21;;19000;1500;glass_white;2019-06-01 12:42:53;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30012;0009 /160C00381;50,109844600000000;14,506988699999965;Nemocnièní 781;;19000;3000;paper;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30013;0009 /160C00382;50,109844600000000;14,506988699999965;Nemocnièní 781;;19000;3000;plastic;2019-05-16 01:48:27;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30014;0009 /160C00383;50,109844600000000;14,506988699999965;Nemocnièní 781;;19000;1500;glass_coloured;2019-05-25 00:54:27;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30015;0009 /160C00384;50,109844600000000;14,506988699999965;Nemocnièní 781;;19000;1500;glass_white;2019-05-20 22:38:47;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30016;0009 /160C00385;50,109844600000000;14,506988699999965;Nemocnièní 781;;19000;3000;beverage_cartons;2019-06-20 09:58:27;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30017;0009/ 161C00391;50,107794600000000;14,489894499999991;Èihákova Matìjkova 9652;;19000;3000;paper;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
